ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
164	\"true\"	false	true	false	     yes	1611493	65	1600	117	1600	148	1340631	0	13	1663389	0	<S:6> = <init>{278} -> [12]<S:6>.concat(\"A\"){4094} -> [45]<S:12>.delete(0, 0){586} -> [65]<S:45>.concat(<CS:48>){2281} -> [164]<S:65>.contains(\"B\"){1611493}
165	\"false\"	false	false	true	     yes	22681	71	1440	67	0	0	33	1440	63	4143	0	<S:8> = <init>{249} -> [17]<S:8>.concat(\"B\"){2305} -> [59]<S:17>.concat(<CS:22>){3118} -> [71]<S:59>.concat(\"A\"){2880} -> [165]<S:71>.isEmpty(){22681}
167	\"false\"	false	false	true	     yes	5030	66	36	4	0	0	135	36	3	289	0	<S:8> = <init>{249} -> [29]<S:8>.concat(\"A\"){3048} -> [51]<S:29>.delete(3, 4){1142} -> [66]<S:51>.delete(0, 1){357} -> [167]<S:66>.equals(\"B\"){5030}
169	\"false\"	false	true	true	     yes	200597256	69	2560000	1994	1796575	5630	132421638	763425	1927	171534225	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [57]<S:14>.concat(<CS:25>){2288} -> [69]<S:57>.concat(\"B\"){229559} -> [169]<S:69>.contains(\"BA\"){200597256}
170	\"false\"	false	false	true	     yes	844511	63	1166400	344	0	0	95	1166400	395	364687	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [44]<S:14>.concat(\"A\"){1751} -> [63]<S:44>.concat(<CS:53>){467320} -> [170]<S:63>.isEmpty(){844511}
172	\"false\"	false	false	true	     yes	816282	62	729	61	0	14	484	729	91	4800	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [44]<S:14>.concat(\"A\"){1751} -> [62]<S:44>.delete(7, 7){804446} -> [172]<S:62>.equals(\"\"){816282}
174	\"false\"	false	true	true	     yes	16395	73	1599	56	995	16	33690	604	12	8136	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [44]<S:14>.concat(\"A\"){1751} -> [73]<S:44>.delete(2, 5){1214} -> [174]<S:73>.contains(\"B\"){16395}
175	\"false\"	false	false	true	     yes	237644	85	26244	9	0	0	11	26244	6	544	0	<S:7> = <init>{253} -> [27]<S:7>.concat(<CS:8>){1623} -> [41]<S:27>.delete(6, 6){234800} -> [85]<S:41>.concat(<CS:56>){447} -> [175]<S:85>.isEmpty(){237644}
177	\"false\"	false	true	true	     yes	138938	67	2560000	2019	4	1	88	2559996	2557	33734	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [57]<S:14>.concat(<CS:25>){2288} -> [67]<S:57>.concat(\"B\"){84082} -> [177]<S:67>.equals(\"CB\"){138938}
179	\"false\"	false	true	true	     yes	8028	74	40	14	19	12	5501	21	15	5825	0	<S:5> = <init>{258} -> [31]<S:5>.delete(0, 0){668} -> [42]<S:31>.concat(\"A\"){661} -> [74]<S:42>.concat(\"C\"){339} -> [179]<S:74>.contains(\"BA\"){8028}
180	\"false\"	false	false	true	     yes	60685	64	1215	14	0	0	13	1215	9	490	0	<S:8> = <init>{249} -> [17]<S:8>.concat(\"B\"){2305} -> [59]<S:17>.concat(<CS:22>){3118} -> [64]<S:59>.delete(6, 6){54466} -> [180]<S:64>.isEmpty(){60685}
182	\"false\"	false	false	true	     yes	195861	70	1215	7	0	0	15	1215	6	467	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [44]<S:14>.concat(\"A\"){1751} -> [70]<S:44>.delete(6, 6){188057} -> [182]<S:70>.equals(\"\"){195861}
184	\"true\"	false	true	false	     yes	6471	75	40	0	40	0	43	0	0	33	0	<S:4> = <init>{1628} -> [11]<S:4>.delete(0, 1){4171} -> [48]<S:11>.concat(\"B\"){564} -> [75]<S:48>.delete(0, 3){75} -> [184]<S:75>.contains(\"\"){6471}
185	\"true\"	false	true	false	     yes	6701	84	27	0	27	0	10	0	0	16	0	<S:4> = <init>{1628} -> [11]<S:4>.delete(0, 1){4171} -> [47]<S:11>.delete(2, 2){837} -> [84]<S:47>.delete(0, 2){58} -> [185]<S:84>.isEmpty(){6701}
187	\"false\"	false	false	true	     yes	426668	79	2224179	9	0	0	18	2224179	8	2066	0	<S:5> = <init>{258} -> [14]<S:5>.concat(<CS:4>){5392} -> [57]<S:14>.concat(<CS:25>){2288} -> [79]<S:57>.delete(9, 11){415828} -> [187]<S:79>.equals(\"C\"){426668}
189	\"false\"	false	true	true	     yes	7073	80	972	4	252	9	4289	720	8	3620	0	<S:7> = <init>{253} -> [24]<S:7>.delete(2, 3){2540} -> [56]<S:24>.delete(1, 1){178} -> [80]<S:56>.concat(<CS:47>){201} -> [189]<S:80>.contains(\"CC\"){7073}
190	\"false\"	false	false	true	     yes	140577	68	62694	23	0	0	13	62694	20	1427	0	<S:7> = <init>{253} -> [27]<S:7>.concat(<CS:8>){1623} -> [38]<S:27>.concat(<CS:17>){5500} -> [68]<S:38>.delete(6, 6){131796} -> [190]<S:68>.isEmpty(){140577}
