ID	ACT VAL	SING	TSAT	FSAT	DISJOINT	ACC IN TIME	IN ID	IN COUNT	IN TIME	T COUNT	T MC TIME	T PRED TIME	F COUNT	F MC TIME	F PRED TIME	OVERLAP	PREV OPS
137	\"false\"	false	false	true	     yes	6643	47	9	8	0	8636	3	9	11	84	0	<S:4> = <init>{2819} -> [11]<S:4>.delete(0, 1){3538} -> [47]<S:11>.delete(2, 2){254} -> [137]<S:47>.isEmpty(){6643}
139	\"false\"	false	false	true	     yes	6763	48	13	12	0	3	6	13	11	120	0	<S:4> = <init>{2819} -> [11]<S:4>.delete(0, 1){3538} -> [48]<S:11>.concat(\"B\"){335} -> [139]<S:48>.equals(\"CC\"){6763}
141	\"false\"	false	true	true	     yes	989	52	324	9	100	18	1239	224	15	291	0	<S:7> = <init>{146} -> [33]<S:7>.delete(2, 3){304} -> [52]<S:33>.concat(<CS:22>){268} -> [141]<S:52>.contains(\"CC\"){989}
142	\"false\"	false	false	true	     yes	1975	37	27	9	0	3	3	27	7	40	0	<S:7> = <init>{146} -> [32]<S:7>.concat(\"C\"){493} -> [37]<S:32>.delete(4, 4){1295} -> [142]<S:37>.isEmpty(){1975}
144	\"false\"	false	true	true	     yes	1384	57	797161	16	1	2	8	797160	11	63	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [57]<S:14>.concat(<CS:25>){512} -> [144]<S:57>.equals(\"\"){1384}
146	\"true\"	false	true	false	     yes	10115	54	1093	485	1093	447	1200	0	4	145	0	<S:7> = <init>{146} -> [27]<S:7>.concat(<CS:8>){474} -> [54]<S:27>.concat(\"B\"){657} -> [146]<S:54>.contains(\"\"){10115}
147	\"false\"	false	false	true	     yes	1011	42	40	15	0	2	3	40	10	57	0	<S:5> = <init>{137} -> [31]<S:5>.delete(0, 0){376} -> [42]<S:31>.concat(\"A\"){452} -> [147]<S:42>.isEmpty(){1011}
149	\"false\"	false	false	true	     yes	1593	45	40	10	0	2	4	40	10	54	0	<S:6> = <init>{126} -> [12]<S:6>.concat(\"A\"){881} -> [45]<S:12>.delete(0, 0){536} -> [149]<S:45>.equals(\"\"){1593}
151	\"true\"	false	true	false	     yes	2583	44	1093	54	1093	58	1178	0	4	232	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [44]<S:14>.concat(\"A\"){675} -> [151]<S:44>.contains(\"A\"){2583}
152	\"false\"	false	false	true	     yes	6483	38	29524	18885	0	10	8	29524	16669	202	0	<S:7> = <init>{146} -> [27]<S:7>.concat(<CS:8>){474} -> [38]<S:27>.concat(<CS:17>){5666} -> [152]<S:38>.isEmpty(){6483}
154	\"false\"	false	false	true	     yes	5777	59	1323	217	0	14	26	1323	80	629	0	<S:8> = <init>{125} -> [17]<S:8>.concat(\"B\"){900} -> [59]<S:17>.concat(<CS:22>){4609} -> [154]<S:59>.equals(\"BB\"){5777}
156	\"false\"	false	true	true	     yes	4806	53	729	6	352	80	2015	377	150	334	0	<S:7> = <init>{146} -> [25]<S:7>.concat(<CS:4>){893} -> [53]<S:25>.delete(6, 6){3499} -> [156]<S:53>.contains(\"BA\"){4806}
157	\"true\"	false	true	false	     yes	3335	58	1	3	1	2	3	0	3	21	0	<S:4> = <init>{2819} -> [26]<S:4>.delete(1, 3){358} -> [58]<S:26>.delete(0, 1){156} -> [157]<S:58>.isEmpty(){3335}
159	\"false\"	false	false	true	     yes	699	50	9	5	0	2	3	9	4	43	0	<S:6> = <init>{126} -> [16]<S:6>.delete(1, 3){400} -> [50]<S:16>.concat(<CS:18>){142} -> [159]<S:50>.equals(\"\"){699}
160	\"false\"	false	false	true	     yes	1635	82	236196	9	0	2	1	236196	7	90	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [57]<S:14>.concat(<CS:25>){512} -> [82]<S:57>.delete(10, 11){268} -> [160]<S:82>.isEmpty(){1635}
162	\"false\"	false	false	true	     yes	12623	76	29524	58890	0	22	7	29524	8909	220	0	<S:7> = <init>{146} -> [27]<S:7>.concat(<CS:8>){474} -> [38]<S:27>.concat(<CS:17>){5666} -> [76]<S:38>.concat(\"C\"){6135} -> [162]<S:76>.equals(\"\"){12623}
164	\"true\"	false	true	false	     yes	4110	65	460	56	460	57	1732	0	2	240	0	<S:6> = <init>{126} -> [12]<S:6>.concat(\"A\"){881} -> [45]<S:12>.delete(0, 0){536} -> [65]<S:45>.concat(<CS:48>){930} -> [164]<S:65>.contains(\"B\"){4110}
165	\"false\"	false	false	true	     yes	6315	71	1323	94	0	1	2	1323	91	266	0	<S:8> = <init>{125} -> [17]<S:8>.concat(\"B\"){900} -> [59]<S:17>.concat(<CS:22>){4609} -> [71]<S:59>.concat(\"A\"){555} -> [165]<S:71>.isEmpty(){6315}
167	\"false\"	false	false	true	     yes	1940	66	9	2	0	1	4	9	3	64	0	<S:8> = <init>{125} -> [29]<S:8>.concat(\"A\"){499} -> [51]<S:29>.delete(3, 4){679} -> [66]<S:51>.delete(0, 1){580} -> [167]<S:66>.equals(\"B\"){1940}
169	\"false\"	false	true	true	     yes	2354	69	797161	180368	600744	169979	18820	196417	45731	528	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [57]<S:14>.concat(<CS:25>){512} -> [69]<S:57>.concat(\"B\"){583} -> [169]<S:69>.contains(\"BA\"){2354}
170	\"false\"	false	false	true	     yes	35964	63	796797	290	0	12	11	796797	277	1878	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [44]<S:14>.concat(\"A\"){675} -> [63]<S:44>.concat(<CS:53>){33161} -> [170]<S:63>.isEmpty(){35964}
172	\"false\"	false	false	true	     yes	28672	62	729	17	0	3	4	729	14	178	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [44]<S:14>.concat(\"A\"){675} -> [62]<S:44>.delete(7, 7){27045} -> [172]<S:62>.equals(\"\"){28672}
174	\"false\"	false	true	true	     yes	2034	73	45	15	29	7	1145	16	25	253	0	<S:5> = <init>{137} -> [14]<S:5>.concat(<CS:4>){670} -> [44]<S:14>.concat(\"A\"){675} -> [73]<S:44>.delete(2, 5){321} -> [174]<S:73>.contains(\"B\"){2034}
